Date,Open,High,Low,Close,Value Traded (SAR),Number of Trades,Size,Month,Quarter,Daily_Return_Pct
2025-12-31,4488.09,4526.54,4486.43,4518.59,1278676992.02,43525,Tadawul Large Cap Index,2025-12,2025Q4,
2025-12-30,4509.54,4514.52,4465.13,4486.82,955655679.98,63698,Tadawul Large Cap Index,2025-12,2025Q4,-0.7030954346378016
2025-12-29,4500.86,4522.85,4478.84,4522.85,844873277.93,54582,Tadawul Large Cap Index,2025-12,2025Q4,0.8030186189773802
2025-12-28,4529.26,4535.61,4492.18,4492.18,663109888.75,55620,Tadawul Large Cap Index,2025-12,2025Q4,-0.6781122522303451
2025-12-25,4535.4,4547.43,4525.08,4529.93,447893354.52,30228,Tadawul Large Cap Index,2025-12,2025Q4,0.8403492291048087
2025-12-24,4553.53,4562.02,4531.21,4542.21,816850655.62,43795,Tadawul Large Cap Index,2025-12,2025Q4,0.27108586666901857
2025-12-23,4523.63,4553.69,4513.88,4553.69,1145716468.83,51045,Tadawul Large Cap Index,2025-12,2025Q4,0.252740406101859
2025-12-22,4476.12,4529.8,4465.6,4529.8,1110991390.3,54799,Tadawul Large Cap Index,2025-12,2025Q4,-0.5246294763147974
2025-12-21,4483.7,4514.37,4467.53,4473.28,701327417.73,44552,Tadawul Large Cap Index,2025-12,2025Q4,-1.2477372069407133
2025-12-18,4446.19,4467.17,4434.32,4464.61,2531447247.05,65730,Tadawul Large Cap Index,2025-12,2025Q4,-0.19381751198226382
2025-12-17,4449.77,4455.06,4423.47,4439.34,1281526168.61,68367,Tadawul Large Cap Index,2025-12,2025Q4,-0.5660068852598399
2025-12-16,4524.1,4528.02,4457.13,4461.72,1335259993.79,71723,Tadawul Large Cap Index,2025-12,2025Q4,0.5041289921474901
2025-12-15,4513.5,4522.26,4472.6,4515.3,1224497808.52,76982,Tadawul Large Cap Index,2025-12,2025Q4,1.2008821710013162
2025-12-14,4569.1,4569.1,4520.03,4525.81,773133150.39,55106,Tadawul Large Cap Index,2025-12,2025Q4,0.23276415742032874
2025-12-11,4586.63,4591.34,4558.4,4573.18,1307312887.88,66929,Tadawul Large Cap Index,2025-12,2025Q4,1.0466634701854494
2025-12-10,4562.44,4580.82,4553.9,4575.25,1096245296.96,56630,Tadawul Large Cap Index,2025-12,2025Q4,0.045263908265136266
2025-12-09,4521.13,4553.34,4517.8,4553.34,1503268902.66,63224,Tadawul Large Cap Index,2025-12,2025Q4,-0.4788809354680068
2025-12-08,4533.36,4538.95,4505.51,4533.13,1349231648.37,79432,Tadawul Large Cap Index,2025-12,2025Q4,-0.4438500090043762
2025-12-07,4529.92,4544.64,4522.26,4534.07,635837896.89,41816,Tadawul Large Cap Index,2025-12,2025Q4,0.02073622419829224
2025-12-04,4503.68,4558.02,4503.68,4523.38,1484832214.56,76667,Tadawul Large Cap Index,2025-12,2025Q4,-0.2357705108213981
2025-12-03,4478.75,4502.05,4465.69,4502.05,1088634926.62,58359,Tadawul Large Cap Index,2025-12,2025Q4,-0.47155003559284925
2025-12-02,4475.66,4493.53,4466.1,4489.25,992942225.49,71362,Tadawul Large Cap Index,2025-12,2025Q4,-0.2843149232016562
2025-12-01,4503.65,4506.01,4453.69,4474.66,1218574402.93,79447,Tadawul Large Cap Index,2025-12,2025Q4,-0.3249986077852651
2025-11-30,4516.67,4533.42,4493.83,4498.86,542361542.38,56214,Tadawul Large Cap Index,2025-11,2025Q4,0.5408232133838009
2025-11-27,4526.8,4539.33,4506.06,4512.07,1122963605.1,83033,Tadawul Large Cap Index,2025-11,2025Q4,0.2936299418074828
2025-11-26,4528.64,4544.92,4486.21,4518.12,1846884691.7,128972,Tadawul Large Cap Index,2025-11,2025Q4,0.13408479921632743
2025-11-25,4589.17,4606.73,4532.62,4532.62,1162235779.69,77904,Tadawul Large Cap Index,2025-11,2025Q4,0.3209299443131197
2025-11-24,4664.57,4666.55,4589.1,4589.1,2882905291.79,81063,Tadawul Large Cap Index,2025-11,2025Q4,1.2460784270466263
2025-11-23,4659.72,4688.4,4653.0,4667.53,584592684.71,38028,Tadawul Large Cap Index,2025-11,2025Q4,1.7090497047351105
2025-11-20,4655.88,4672.3,4640.62,4657.44,998559200.18,56945,Tadawul Large Cap Index,2025-11,2025Q4,-0.21617429346999506
2025-11-19,4698.46,4715.13,4650.22,4650.22,1265604253.03,62957,Tadawul Large Cap Index,2025-11,2025Q4,-0.1550207839499662
2025-11-18,4665.08,4704.44,4649.19,4700.54,1654448374.81,81625,Tadawul Large Cap Index,2025-11,2025Q4,1.0820993415365132
2025-11-17,4655.8,4697.03,4655.8,4679.7,1398848190.12,71854,Tadawul Large Cap Index,2025-11,2025Q4,-0.44335331685295687
2025-11-16,4705.77,4712.42,4661.99,4664.08,769699139.48,47009,Tadawul Large Cap Index,2025-11,2025Q4,-0.3337820800478619
2025-11-13,4759.59,4761.85,4712.83,4712.83,1147208944.26,72658,Tadawul Large Cap Index,2025-11,2025Q4,1.0452222088815022
2025-11-12,4767.26,4778.88,4753.03,4758.77,952711707.44,50021,Tadawul Large Cap Index,2025-11,2025Q4,0.9747858505399165
2025-11-11,4752.56,4772.26,4748.13,4772.26,1222645298.64,58272,Tadawul Large Cap Index,2025-11,2025Q4,0.28347661265410995
2025-11-10,4754.07,4765.25,4740.05,4753.11,1326398959.96,75645,Tadawul Large Cap Index,2025-11,2025Q4,-0.4012773822046678
2025-11-09,4770.45,4771.21,4725.19,4757.02,755463639.13,49067,Tadawul Large Cap Index,2025-11,2025Q4,0.08226192955771428
2025-11-06,4775.02,4796.84,4764.95,4771.61,1327345617.3,72112,Tadawul Large Cap Index,2025-11,2025Q4,0.3067046175967203
2025-11-05,4797.8,4822.54,4767.18,4770.86,1556278316.0,83141,Tadawul Large Cap Index,2025-11,2025Q4,-0.015717965215089613
2025-11-04,4859.35,4877.14,4816.36,4820.29,1748630892.21,84256,Tadawul Large Cap Index,2025-11,2025Q4,1.0360815450463967
2025-11-03,4865.29,4872.77,4830.46,4851.18,2052690658.82,95845,Tadawul Large Cap Index,2025-11,2025Q4,0.6408328129635432
2025-11-02,4886.62,4925.48,4874.04,4875.28,1522847227.64,71883,Tadawul Large Cap Index,2025-11,2025Q4,0.49678634888830064
2025-10-30,4983.83,4993.33,4916.98,4928.74,2994978986.99,106066,Tadawul Large Cap Index,2025-10,2025Q4,1.0965524031440355
2025-10-29,4942.93,4982.88,4939.9,4982.88,1536475808.01,64124,Tadawul Large Cap Index,2025-10,2025Q4,1.0984551832720069
2025-10-28,4900.98,4948.86,4900.98,4937.39,2153360104.86,83857,Tadawul Large Cap Index,2025-10,2025Q4,-0.9129258581382582
2025-10-27,4905.33,4927.05,4900.99,4905.67,1884635374.25,81300,Tadawul Large Cap Index,2025-10,2025Q4,-0.6424446924387262
2025-10-26,4921.35,4928.03,4898.17,4901.95,753220958.0,43328,Tadawul Large Cap Index,2025-10,2025Q4,-0.07583062048609479
2025-10-23,4918.01,4923.81,4888.91,4921.1,1818209276.61,74291,Tadawul Large Cap Index,2025-10,2025Q4,0.39066085945389517
2025-10-22,4883.9,4922.39,4857.39,4912.4,2383227050.16,94890,Tadawul Large Cap Index,2025-10,2025Q4,-0.17678974213083398
2025-10-21,4931.8,4931.99,4875.89,4880.11,1628676919.61,68211,Tadawul Large Cap Index,2025-10,2025Q4,-0.6573161794642068
2025-10-20,4941.44,4948.46,4901.64,4913.08,1721733634.4,79747,Tadawul Large Cap Index,2025-10,2025Q4,0.6755995254205338
2025-10-19,4924.33,4951.89,4920.66,4932.05,1186723132.67,57978,Tadawul Large Cap Index,2025-10,2025Q4,0.3861121740333928
2025-10-16,4915.26,4942.66,4915.26,4924.64,2060196330.2,93397,Tadawul Large Cap Index,2025-10,2025Q4,-0.1502417858699645
2025-10-15,4870.68,4920.26,4867.65,4915.66,2281077457.69,86279,Tadawul Large Cap Index,2025-10,2025Q4,-0.18234835439748798
2025-10-14,4851.47,4888.47,4851.47,4865.76,1694412465.54,81980,Tadawul Large Cap Index,2025-10,2025Q4,-1.0151230963899027
2025-10-13,4825.76,4862.36,4819.75,4851.03,1603545280.97,88244,Tadawul Large Cap Index,2025-10,2025Q4,-0.30272763144915116
2025-10-12,4771.14,4835.08,4744.51,4809.2,1453264736.26,70913,Tadawul Large Cap Index,2025-10,2025Q4,-0.862291101065138
2025-10-09,4859.99,4873.73,4855.87,4856.2,1352594627.17,72385,Tadawul Large Cap Index,2025-10,2025Q4,0.9772935207518874
2025-10-08,4851.04,4882.94,4850.91,4854.22,1535573326.33,76477,Tadawul Large Cap Index,2025-10,2025Q4,-0.04077262056750852
2025-10-07,4865.33,4868.92,4826.01,4850.86,1925854631.64,87303,Tadawul Large Cap Index,2025-10,2025Q4,-0.06921812361204704
2025-10-06,4837.23,4886.65,4835.41,4865.95,1896951379.88,87921,Tadawul Large Cap Index,2025-10,2025Q4,0.3110788602433523
2025-10-05,4837.1,4851.06,4822.16,4832.22,863355154.88,57863,Tadawul Large Cap Index,2025-10,2025Q4,-0.6931842702863733
2025-10-02,4855.78,4862.29,4825.4,4829.24,2331826286.82,109210,Tadawul Large Cap Index,2025-10,2025Q4,-0.06166937763596447
2025-10-01,4842.24,4870.42,4832.41,4853.05,1925488052.97,97756,Tadawul Large Cap Index,2025-10,2025Q4,0.4930382420422319
2025-09-30,4800.67,4856.56,4793.82,4838.69,2947398001.02,108736,Tadawul Large Cap Index,2025-09,2025Q3,-0.2958963950505433
2025-09-29,4698.99,4803.23,4691.45,4800.2,3161176262.43,113365,Tadawul Large Cap Index,2025-09,2025Q3,-0.7954632348838198
2025-09-28,4728.96,4753.75,4698.82,4701.46,1394897077.4,76929,Tadawul Large Cap Index,2025-09,2025Q3,-2.0569976250989552
2025-09-25,4942.15,4942.93,4709.56,4752.96,8822215116.52,217174,Tadawul Large Cap Index,2025-09,2025Q3,1.095404406290812
2025-09-24,4658.9,4833.77,4632.17,4824.29,6630425550.48,201883,Tadawul Large Cap Index,2025-09,2025Q3,1.5007490069346208
2025-09-22,4529.29,4576.96,4519.4,4573.97,1708591034.08,101078,Tadawul Large Cap Index,2025-09,2025Q3,-5.188742799458568
2025-09-21,4537.65,4558.67,4515.95,4532.95,1645777503.77,89973,Tadawul Large Cap Index,2025-09,2025Q3,-0.8968139275071896
2025-09-18,4483.09,4523.81,4466.08,4523.81,3204785239.17,110111,Tadawul Large Cap Index,2025-09,2025Q3,-0.2016346970515781
2025-09-17,4426.09,4477.03,4423.5,4474.87,1606824246.56,109090,Tadawul Large Cap Index,2025-09,2025Q3,-1.081831465070382
2025-09-16,4385.8,4420.98,4368.45,4420.98,1419869982.33,80319,Tadawul Large Cap Index,2025-09,2025Q3,-1.2042807947493572
2025-09-15,4388.27,4393.89,4356.65,4385.24,1611108583.16,121892,Tadawul Large Cap Index,2025-09,2025Q3,-0.8084180430583232
2025-09-14,4387.25,4394.51,4363.77,4388.94,747839947.12,82242,Tadawul Large Cap Index,2025-09,2025Q3,0.08437394532567755
2025-09-11,4409.86,4419.96,4382.92,4393.54,1108679866.06,93811,Tadawul Large Cap Index,2025-09,2025Q3,0.10480890602286852
2025-09-10,4418.49,4418.7,4392.77,4408.54,1055854160.07,116734,Tadawul Large Cap Index,2025-09,2025Q3,0.3414103433677651
2025-09-09,4406.54,4420.01,4380.21,4420.01,1440007528.04,143833,Tadawul Large Cap Index,2025-09,2025Q3,0.2601768385905645
2025-09-08,4453.27,4459.06,4401.37,4405.59,1327032454.5,122678,Tadawul Large Cap Index,2025-09,2025Q3,-0.3262436057836937
2025-09-07,4479.58,4482.88,4449.84,4454.23,539355678.33,65173,Tadawul Large Cap Index,2025-09,2025Q3,1.1040518977026847
2025-09-04,4450.43,4480.57,4449.5,4473.61,1100605166.11,89033,Tadawul Large Cap Index,2025-09,2025Q3,0.43509203610949676
2025-09-03,4465.16,4485.72,4450.32,4450.93,1021768739.89,95229,Tadawul Large Cap Index,2025-09,2025Q3,-0.5069731156716717
2025-09-02,4467.63,4476.18,4447.62,4476.18,1266682382.46,94521,Tadawul Large Cap Index,2025-09,2025Q3,0.5672971716023323
2025-09-01,4467.43,4480.38,4451.79,4467.79,1281338780.5,111460,Tadawul Large Cap Index,2025-09,2025Q3,-0.1874366088941981
2025-08-31,4480.29,4488.79,4458.46,4463.45,662339061.53,64464,Tadawul Large Cap Index,2025-08,2025Q3,-0.09713974918248436
2025-08-28,4497.29,4506.27,4461.11,4461.11,1159389326.01,122191,Tadawul Large Cap Index,2025-08,2025Q3,-0.052425814112400104
2025-08-27,4533.15,4534.18,4495.34,4495.34,1218894970.44,79516,Tadawul Large Cap Index,2025-08,2025Q3,0.7672978249807949
2025-08-26,4556.92,4558.92,4527.66,4527.69,2373349094.35,86536,Tadawul Large Cap Index,2025-08,2025Q3,0.7196341099894532
2025-08-25,4566.76,4576.82,4552.44,4554.51,1091612208.72,80109,Tadawul Large Cap Index,2025-08,2025Q3,0.5923550419750567
2025-08-24,4573.74,4598.2,4569.55,4569.55,1160093551.93,71333,Tadawul Large Cap Index,2025-08,2025Q3,0.3302221314696929
2025-08-21,4545.31,4563.61,4542.45,4558.63,1755793412.78,113042,Tadawul Large Cap Index,2025-08,2025Q3,-0.23897320305062975
2025-08-20,4549.79,4567.65,4543.94,4550.87,1452610733.03,89743,Tadawul Large Cap Index,2025-08,2025Q3,-0.17022658123164724
2025-08-19,4562.15,4573.37,4543.29,4562.97,1173827385.78,76374,Tadawul Large Cap Index,2025-08,2025Q3,0.26588322672369546
2025-08-18,4575.03,4578.05,4545.95,4564.02,1051566191.23,69076,Tadawul Large Cap Index,2025-08,2025Q3,0.023011328148125898
2025-08-17,4554.65,4579.37,4551.2,4576.07,790443643.9,46813,Tadawul Large Cap Index,2025-08,2025Q3,0.26402163005418977
2025-08-14,4522.76,4557.55,4515.46,4557.55,1386095321.37,83520,Tadawul Large Cap Index,2025-08,2025Q3,-0.4047140887267764
2025-08-13,4507.21,4540.1,4506.19,4519.76,1157359762.76,81360,Tadawul Large Cap Index,2025-08,2025Q3,-0.8291735691325353
2025-08-12,4522.55,4530.51,4499.49,4510.15,1030033935.09,63781,Tadawul Large Cap Index,2025-08,2025Q3,-0.21262190912793022
2025-08-11,4558.22,4563.09,4524.89,4524.89,1168849815.26,72175,Tadawul Large Cap Index,2025-08,2025Q3,0.3268183985011719
2025-08-10,4563.43,4571.75,4553.42,4563.73,873672046.26,48721,Tadawul Large Cap Index,2025-08,2025Q3,0.8583634077292235
2025-08-07,4566.49,4571.07,4555.81,4559.55,1025194844.08,58650,Tadawul Large Cap Index,2025-08,2025Q3,-0.09159174622511701
2025-08-06,4564.07,4578.51,4557.47,4575.57,1187507428.84,60005,Tadawul Large Cap Index,2025-08,2025Q3,0.35135046221665966
2025-08-05,4533.19,4564.09,4524.39,4564.09,1554374264.98,76741,Tadawul Large Cap Index,2025-08,2025Q3,-0.2508977023627512
2025-08-04,4511.39,4540.16,4481.34,4538.57,1329851553.66,85288,Tadawul Large Cap Index,2025-08,2025Q3,-0.5591476066422962
2025-08-03,4572.93,4573.11,4518.97,4535.94,794886095.34,62523,Tadawul Large Cap Index,2025-08,2025Q3,-0.05794776768894838
2025-07-31,4573.43,4578.6,4547.03,4578.6,1257196369.62,74150,Tadawul Large Cap Index,2025-07,2025Q3,0.9404886308020055
2025-07-30,4515.16,4574.29,4503.45,4574.29,1284215764.3,80034,Tadawul Large Cap Index,2025-07,2025Q3,-0.09413357794959554
2025-07-29,4555.87,4562.18,4508.28,4520.87,1388949857.82,91808,Tadawul Large Cap Index,2025-07,2025Q3,-1.1678315104639236
2025-07-28,4568.66,4589.54,4549.91,4549.91,1244937379.75,75472,Tadawul Large Cap Index,2025-07,2025Q3,0.6423542371269297
2025-07-27,4577.78,4581.03,4567.01,4574.87,773842885.43,55583,Tadawul Large Cap Index,2025-07,2025Q3,0.5485822796494899
2025-07-24,4599.98,4606.08,4565.02,4573.6,1408447399.41,82016,Tadawul Large Cap Index,2025-07,2025Q3,-0.027760351660255367
2025-07-23,4536.39,4595.0,4530.8,4595.0,1709864394.9,78053,Tadawul Large Cap Index,2025-07,2025Q3,0.4679027461955476
2025-07-22,4601.28,4603.35,4533.64,4533.64,1212807172.96,80415,Tadawul Large Cap Index,2025-07,2025Q3,-1.3353645266594105
2025-07-21,4594.5,4608.46,4565.91,4597.96,1418681037.77,89547,Tadawul Large Cap Index,2025-07,2025Q3,1.418727556665278
2025-07-20,4606.76,4633.27,4579.76,4583.52,874102628.15,66933,Tadawul Large Cap Index,2025-07,2025Q3,-0.31405231885444085
2025-07-17,4616.78,4617.02,4588.97,4599.89,1534032327.9,104016,Tadawul Large Cap Index,2025-07,2025Q3,0.3571490906552066
2025-07-16,4631.64,4656.76,4614.91,4618.87,1127535722.66,81798,Tadawul Large Cap Index,2025-07,2025Q3,0.4126185626177836
2025-07-15,4677.56,4682.22,4621.22,4636.51,1575720203.58,80326,Tadawul Large Cap Index,2025-07,2025Q3,0.38191159309528544
2025-07-14,4694.74,4698.13,4665.41,4686.53,1193950225.82,81095,Tadawul Large Cap Index,2025-07,2025Q3,1.0788286879571007
2025-07-13,4709.9,4725.22,4677.05,4691.44,998180642.64,76749,Tadawul Large Cap Index,2025-07,2025Q3,0.10476834672987767
2025-07-10,4714.18,4736.83,4709.22,4709.84,1487076253.91,87022,Tadawul Large Cap Index,2025-07,2025Q3,0.39220367307266635
2025-07-09,4735.1,4741.05,4705.19,4715.65,1425171040.12,85131,Tadawul Large Cap Index,2025-07,2025Q3,0.12335875528679541
2025-07-08,4765.06,4778.35,4734.33,4744.68,1496181961.91,80414,Tadawul Large Cap Index,2025-07,2025Q3,0.6156097250644255
2025-07-07,4768.53,4791.09,4760.38,4770.78,1775879615.27,90479,Tadawul Large Cap Index,2025-07,2025Q3,0.5500897847694475
2025-07-06,4722.64,4772.95,4709.67,4767.97,1257834547.52,62410,Tadawul Large Cap Index,2025-07,2025Q3,-0.05890022176665566
2025-07-03,4663.56,4725.66,4659.72,4725.66,1965379181.64,89359,Tadawul Large Cap Index,2025-07,2025Q3,-0.8873797444195364
2025-07-02,4651.66,4668.95,4633.8,4656.15,1819912819.46,89189,Tadawul Large Cap Index,2025-07,2025Q3,-1.4709056512741125
2025-07-01,4696.09,4698.35,4640.07,4649.74,1908546373.78,88942,Tadawul Large Cap Index,2025-07,2025Q3,-0.13766738614520158
2025-06-30,4679.06,4700.52,4665.93,4676.59,2707400313.97,126596,Tadawul Large Cap Index,2025-06,2025Q2,0.5774516424574383
2025-06-29,4650.65,4677.65,4638.24,4677.65,1352547455.52,70816,Tadawul Large Cap Index,2025-06,2025Q2,0.022666087897360576
2025-06-26,4603.84,4638.85,4584.54,4638.85,1694835419.88,87812,Tadawul Large Cap Index,2025-06,2025Q2,-0.8294763396149651
2025-06-25,4627.36,4630.98,4579.64,4605.87,1644986772.1,105975,Tadawul Large Cap Index,2025-06,2025Q2,-0.7109520678616588
2025-06-24,4580.35,4612.94,4565.01,4611.97,3143928707.62,134088,Tadawul Large Cap Index,2025-06,2025Q2,0.13243969108984732
2025-06-23,4463.61,4509.97,4459.06,4507.48,1177540137.25,68871,Tadawul Large Cap Index,2025-06,2025Q2,-2.2656261857731175
2025-06-22,4467.1,4521.23,4454.5,4455.17,1008333646.8,62131,Tadawul Large Cap Index,2025-06,2025Q2,-1.1605154099407988
2025-06-19,4465.94,4483.02,4442.0,4472.16,2721537275.1,82602,Tadawul Large Cap Index,2025-06,2025Q2,0.3813546957804004
2025-06-18,4498.67,4499.87,4462.17,4469.44,1300700692.0,89525,Tadawul Large Cap Index,2025-06,2025Q2,-0.060820721977750125
2025-06-17,4587.94,4588.8,4511.19,4512.28,1859054094.82,109459,Tadawul Large Cap Index,2025-06,2025Q2,0.9585093434524294
2025-06-16,4543.23,4615.45,4542.37,4585.97,1769953015.85,106587,Tadawul Large Cap Index,2025-06,2025Q2,1.6330990098132325
2025-06-15,4434.58,4550.86,4434.21,4533.84,1935991493.02,98726,Tadawul Large Cap Index,2025-06,2025Q2,-1.136727889628586
2025-06-12,4598.47,4600.82,4549.98,4574.41,1882738955.76,126114,Tadawul Large Cap Index,2025-06,2025Q2,0.8948264605720402
2025-06-11,4670.32,4701.85,4596.81,4616.91,2361734437.87,136115,Tadawul Large Cap Index,2025-06,2025Q2,0.9290815646170847
2025-06-04,4550.2,4629.33,4548.83,4625.85,2022278885.4,109349,Tadawul Large Cap Index,2025-06,2025Q2,0.19363600330091213
2025-06-03,4567.34,4569.21,4537.5,4537.5,1334625543.08,98347,Tadawul Large Cap Index,2025-06,2025Q2,-1.9099192580823043
2025-06-02,4565.1,4585.93,4550.03,4553.33,1669113063.5,107703,Tadawul Large Cap Index,2025-06,2025Q2,0.34887052341596725
2025-06-01,4628.95,4630.91,4536.09,4552.98,1293941273.83,98244,Tadawul Large Cap Index,2025-06,2025Q2,-0.0076866820546750425
2025-05-29,4688.64,4693.55,4616.84,4620.21,4183184394.75,136984,Tadawul Large Cap Index,2025-05,2025Q2,1.4766153156833717
2025-05-28,4634.18,4694.11,4630.47,4664.62,1686074111.85,83114,Tadawul Large Cap Index,2025-05,2025Q2,0.9612117198136039
2025-05-27,4684.14,4687.42,4607.49,4628.56,1586860940.95,101796,Tadawul Large Cap Index,2025-05,2025Q2,-0.7730533248152982
2025-05-26,4635.81,4681.3,4615.41,4681.3,1548843274.09,90460,Tadawul Large Cap Index,2025-05,2025Q2,1.1394472578944548
2025-05-25,4727.74,4729.6,4613.19,4613.19,1394137971.22,96039,Tadawul Large Cap Index,2025-05,2025Q2,-1.4549377309721834
2025-05-22,4749.73,4751.96,4713.96,4721.62,1583277500.8,91097,Tadawul Large Cap Index,2025-05,2025Q2,2.3504342981754522
2025-05-21,4828.06,4843.88,4762.65,4762.65,1628755583.6,86656,Tadawul Large Cap Index,2025-05,2025Q2,0.8689814089231973
2025-05-20,4822.13,4854.49,4812.25,4839.22,1715460843.15,82553,Tadawul Large Cap Index,2025-05,2025Q2,1.6077183920716553
2025-05-19,4824.36,4833.24,4800.81,4824.09,1570595460.45,80237,Tadawul Large Cap Index,2025-05,2025Q2,-0.3126536921239431
2025-05-18,4852.86,4865.09,4821.78,4825.23,896547665.45,64708,Tadawul Large Cap Index,2025-05,2025Q2,0.023631399911683282
2025-05-15,4865.12,4874.32,4840.01,4849.08,1426278628.0,74422,Tadawul Large Cap Index,2025-05,2025Q2,0.49427695674610916
2025-05-14,4860.13,4875.64,4842.68,4866.73,2035408989.05,97113,Tadawul Large Cap Index,2025-05,2025Q2,0.36398657064844464
2025-05-13,4876.58,4876.58,4848.37,4872.78,1672305997.85,84513,Tadawul Large Cap Index,2025-05,2025Q2,0.12431345071537425
2025-05-12,4824.89,4878.45,4821.97,4854.92,2048455569.4,84221,Tadawul Large Cap Index,2025-05,2025Q2,-0.36652588460796
2025-05-11,4837.11,4848.76,4799.04,4805.25,867868409.03,58567,Tadawul Large Cap Index,2025-05,2025Q2,-1.023085859293249
2025-05-08,4850.32,4860.37,4800.45,4816.25,1501286177.36,92757,Tadawul Large Cap Index,2025-05,2025Q2,0.22891628947505627
2025-05-07,4833.19,4847.73,4818.26,4821.5,1343861066.81,64268,Tadawul Large Cap Index,2025-05,2025Q2,0.10900596937450935
2025-05-06,4833.51,4858.14,4811.71,4832.96,1487530636.3,84178,Tadawul Large Cap Index,2025-05,2025Q2,0.23768536762418524
2025-05-05,4810.48,4841.82,4771.93,4827.15,1795332949.1,95763,Tadawul Large Cap Index,2025-05,2025Q2,-0.12021618221546015
2025-05-04,4900.3,4906.12,4818.56,4818.56,1209211125.8,82837,Tadawul Large Cap Index,2025-05,2025Q2,-0.17795179350132972
2025-05-01,4956.01,4957.98,4878.15,4895.82,1720122087.8,92020,Tadawul Large Cap Index,2025-05,2025Q2,1.6033835834772026
2025-04-30,4978.75,4996.83,4954.83,4966.39,2312899863.65,84686,Tadawul Large Cap Index,2025-04,2025Q2,1.4414337128407562
2025-04-29,5001.64,5006.06,4978.78,4978.78,2115819225.05,85147,Tadawul Large Cap Index,2025-04,2025Q2,0.24947698428836595
2025-04-28,5000.81,5011.24,4984.73,4999.89,1436751064.65,78936,Tadawul Large Cap Index,2025-04,2025Q2,0.423999453681434
2025-04-27,5012.91,5018.12,4991.78,4994.28,859143528.3,57412,Tadawul Large Cap Index,2025-04,2025Q2,-0.11220246845431436
2025-04-24,4976.82,5014.45,4971.32,5004.2,2494006640.55,87289,Tadawul Large Cap Index,2025-04,2025Q2,0.19862722955059642
2025-04-23,4948.56,4979.0,4946.17,4972.95,2399165146.4,66944,Tadawul Large Cap Index,2025-04,2025Q2,-0.624475440629868
2025-04-22,4903.12,4918.92,4885.98,4912.1,1964992457.35,71612,Tadawul Large Cap Index,2025-04,2025Q2,-1.2236197830261641
2025-04-21,4914.59,4918.92,4880.32,4884.42,820187408.15,57750,Tadawul Large Cap Index,2025-04,2025Q2,-0.5635064432727432
2025-04-20,4904.88,4922.66,4903.87,4911.76,898929747.65,46638,Tadawul Large Cap Index,2025-04,2025Q2,0.559738924990083
2025-04-17,4922.05,4926.9,4891.16,4894.34,1381459437.8,62428,Tadawul Large Cap Index,2025-04,2025Q2,-0.35465902242780567
2025-04-16,4908.33,4938.16,4896.07,4938.16,1873872412.5,85277,Tadawul Large Cap Index,2025-04,2025Q2,0.8953199001295209
2025-04-15,4909.53,4918.69,4898.48,4913.33,1705311521.7,85343,Tadawul Large Cap Index,2025-04,2025Q2,-0.5028188637063224
2025-04-14,4930.23,4931.74,4890.35,4903.24,1510505357.5,90967,Tadawul Large Cap Index,2025-04,2025Q2,-0.20535970512870483
2025-04-13,4931.58,4939.61,4911.57,4924.84,1242557430.2,84612,Tadawul Large Cap Index,2025-04,2025Q2,0.44052504058542663
2025-04-10,4938.76,4939.72,4856.95,4901.5,2934847379.05,128298,Tadawul Large Cap Index,2025-04,2025Q2,-0.4739240259582056
2025-04-09,4794.95,4842.94,4708.94,4726.23,2296049491.95,117595,Tadawul Large Cap Index,2025-04,2025Q2,-3.5758441293481713
2025-04-08,4853.88,4911.1,4801.93,4801.93,2766371618.3,131616,Tadawul Large Cap Index,2025-04,2025Q2,1.6016994517829453
2025-04-07,4625.3,4782.36,4558.91,4776.24,3650105080.21,192124,Tadawul Large Cap Index,2025-04,2025Q2,-0.5349932214755437
